Jugador;Equipo;Liga;Edad;Demarcación;Minutos jugados;PJ;Goles;Asistencias;Goles esperados;Asistencias esperadas;Remates;Remates a puerta;Pases clave;Precisión pases;Pases progresivos;Conducciones progresivas;Regates completados;Centros acertados;Toques en área;Duelos aéreos ganados;% duelos aéreos;% duelos;Entradas ganadas;Intercepciones;Recuperaciones;Despejes;Bloqueos;Faltas cometidas;Tarjetas amarillas;Tarjetas rojas;Paradas;Goles encajados;Porterías a cero;Salidas;Valor de mercado
Torlan Lunvic;Danos FC;Primera División Argentina;22;MC;1490;18;1;0;1.39;3.53;26.0;7.0;24.0;94.2;160.0;22.0;22.0;20.0;97.0;28.0;68.6;59.1;20.0;21.0;93.0;45.0;10.0;22.0;2;0;;;;;12849262
Belpel Jorgio;Danos FC;Primera División Argentina;24;Pivote;1884;24;1;1;3.14;4.0;10.0;2.0;39.0;64.2;45.0;36.0;11.0;11.0;79.0;30.0;43.4;43.8;43.0;22.0;201.0;7.0;3.0;27.0;2;0;;;;;1933993
Fargio Ostvic;Danos FC;Primera División Argentina;18;Delantero centro;2093;36;9;6;9.59;5.15;53.0;22.0;44.0;69.1;211.0;148.0;69.0;25.0;128.0;75.0;39.0;60.1;72.0;67.0;152.0;85.0;7.0;14.0;8;0;;;;;11270365
Nevhus Ivazar;Henrin FC;Primera División Argentina;23;POR;1109;15;0;0;;;;;25.0;92.7;54.0;56.0;3.0;6.0;8.0;20.0;32.5;48.8;36.0;31.0;108.0;23.0;5.0;6.0;6;0;50.0;19.0;2.0;9.0;26714115
Danzar Ostez;Henrin FC;Primera División Argentina;25;POR;2335;26;0;0;;;;;43.0;76.3;179.0;83.0;108.0;37.0;138.0;79.0;36.0;69.1;36.0;30.0;307.0;100.0;18.0;52.0;9;0;69.0;17.0;3.0;10.0;11531491
Belmir Belsen;Henrin FC;Primera División Argentina;20;Lateral derecho;2424;35;1;0;0.33;0.69;30.0;7.0;28.0;76.5;255.0;48.0;50.0;11.0;51.0;80.0;62.9;44.9;25.0;39.0;198.0;94.0;16.0;52.0;0;0;;;;;14648942
Prapel Hendin;Henrin FC;Primera División Argentina;20;Delantero centro;1809;20;1;1;1.34;0.66;25.0;8.0;15.0;89.0;38.0;28.0;33.0;1.0;98.0;71.0;61.2;54.5;19.0;36.0;54.0;35.0;19.0;11.0;1;0;;;;;976968
Arez Ostba;Henrin FC;Primera División Argentina;24;Delantero centro;1455;20;2;1;2.26;1.03;45.0;14.0;7.0;64.5;92.0;40.0;24.0;8.0;94.0;35.0;68.3;44.3;13.0;25.0;111.0;13.0;5.0;22.0;0;0;;;;;875558
Morfal Torlan;Henrin FC;Primera División Argentina;27;Pivote;2104;26;0;0;0.88;5.52;24.0;6.0;45.0;81.8;61.0;61.0;8.0;21.0;22.0;82.0;67.4;58.3;33.0;67.0;307.0;27.0;8.0;23.0;5;0;;;;;15314634
Henba Ardin;Henrin FC;Primera División Argentina;22;Mediapunta;1690;20;4;3;4.23;1.85;79.0;31.0;25.0;71.9;110.0;23.0;16.0;7.0;17.0;7.0;62.8;48.1;48.0;44.0;149.0;73.0;11.0;8.0;6;0;;;;;15267626
Quiic Nevos;Henrin FC;Primera División Argentina;27;Extremo izquierdo;1182;17;3;2;3.57;2.75;56.0;17.0;26.0;74.3;23.0;7.0;25.0;8.0;68.0;27.0;45.0;45.3;6.0;11.0;88.0;45.0;6.0;6.0;6;0;;;;;1250602
Henzar Elidin;Henrin FC;Primera División Argentina;21;Lateral derecho;2219;26;1;1;1.18;5.19;23.0;5.0;55.0;71.3;220.0;45.0;55.0;29.0;26.0;85.0;63.2;47.9;62.0;56.0;217.0;25.0;11.0;33.0;2;0;;;;;3671628
Henvic Ivaic;Henrin FC;Primera División Argentina;25;Extremo izquierdo;561;6;4;1;3.92;3.3;19.0;5.0;18.0;68.2;73.0;44.0;22.0;9.0;2.0;14.0;41.5;63.0;11.0;14.0;83.0;8.0;5.0;11.0;0;0;;;;;5097687
Ivapel Silfal;Henrin FC;Primera División Argentina;33;Mediapunta;1952;22;6;4;7.79;3.31;45.0;20.0;41.0;75.2;201.0;63.0;36.0;24.0;102.0;55.0;40.2;44.1;53.0;33.0;117.0;17.0;7.0;39.0;1;0;;;;;6839834
Nevsen Pradin;Henrin FC;Primera División Argentina;27;Pivote;2336;26;2;0;3.91;5.34;25.0;11.0;62.0;73.6;212.0;78.0;71.0;20.0;118.0;104.0;63.7;65.8;55.0;67.0;185.0;33.0;5.0;24.0;6;0;;;;;6264747
Kalce Quigio;Henrin FC;Primera División Argentina;25;Extremo izquierdo;2921;52;11;10;10.22;5.77;66.0;18.0;42.0;73.4;146.0;22.0;4.0;5.0;15.0;53.0;62.9;56.6;42.0;80.0;234.0;22.0;36.0;56.0;0;0;;;;;6354396
Lunvic Corkov;Henrin FC;Primera División Argentina;25;Extremo izquierdo;1896;26;7;3;7.42;6.13;24.0;8.0;8.0;76.5;229.0;76.0;32.0;9.0;97.0;80.0;38.8;57.9;64.0;53.0;153.0;41.0;18.0;24.0;0;0;;;;;9168981
Belju Lunkov;Henrin FC;Primera División Argentina;21;Pivote;1729;24;2;1;1.6;2.48;9.0;3.0;36.0;88.3;51.0;55.0;59.0;21.0;9.0;56.0;52.9;57.6;16.0;67.0;135.0;44.0;14.0;24.0;8;0;;;;;22670789
Artov Ivavic;Henrin FC;Primera División Argentina;28;Lateral derecho;1092;17;0;1;0.51;0.59;5.0;2.0;19.0;83.8;84.0;58.0;31.0;4.0;71.0;8.0;59.7;65.7;15.0;34.0;84.0;17.0;10.0;22.0;1;0;;;;;7447189
Pragio Belgio;Henrin FC;Primera División Argentina;25;Mediapunta;2249;28;8;4;7.63;3.45;95.0;33.0;16.0;91.0;153.0;125.0;40.0;36.0;80.0;24.0;67.8;63.8;13.0;66.0;197.0;67.0;26.0;11.0;9;0;;;;;3369695
Ostrin Rosfal;Henrin FC;Primera División Argentina;27;Lateral derecho;1449;17;0;0;1.52;0.53;6.0;1.0;35.0;94.3;96.0;22.0;7.0;10.0;48.0;60.0;41.4;51.9;35.0;14.0;78.0;37.0;5.0;23.0;2;0;;;;;2779660
Nevba Danic;Henrin FC;Primera División Argentina;27;Extremo izquierdo;1854;30;1;0;1.98;1.18;78.0;25.0;10.0;75.2;129.0;57.0;12.0;18.0;95.0;68.0;46.8;62.4;24.0;18.0;86.0;61.0;9.0;22.0;1;0;;;;;1388626
Jorrin Rosmir;Henrin FC;Primera División Argentina;19;Mediapunta;1663;20;9;4;10.95;3.58;56.0;20.0;29.0;85.0;45.0;46.0;8.0;22.0;22.0;22.0;66.0;65.2;45.0;40.0;195.0;22.0;12.0;16.0;0;0;;;;;12379643
Nevzar Jordin;Henrin FC;Primera División Argentina;19;Lateral derecho;1678;24;0;1;3.02;4.51;29.0;8.0;42.0;86.0;55.0;32.0;68.0;24.0;47.0;20.0;41.1;49.4;59.0;34.0;205.0;44.0;13.0;16.0;2;0;;;;;18829893
Ivatov Corez;Henrin FC;Primera División Argentina;23;Pivote;1753;20;0;0;2.08;4.63;15.0;7.0;14.0;70.3;84.0;24.0;32.0;5.0;53.0;75.0;35.5;61.6;29.0;26.0;139.0;14.0;19.0;19.0;5;1;;;;;255874
